City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Atuona,-9.8,-139.03,79.39,78,25,17.6,PF,1595647233
George Town,5.41,100.34,86.0,83,20,3.36,MY,1595647168
Ushuaia,-54.8,-68.3,30.2,86,90,13.87,AR,1595647046
Barrow,71.29,-156.79,35.6,80,90,11.41,US,1595647248
Distrikt Brokopondo,4.75,-55.17,77.11,84,34,5.41,SR,1595647468
Hilo,19.73,-155.09,82.4,69,20,4.7,US,1595647050
Busselton,-33.65,115.33,63.0,61,98,5.01,AU,1595646958
East London,-33.02,27.91,65.03,26,0,5.5,ZA,1595646961
Esso,55.93,158.7,70.45,35,7,3.27,RU,1595647468
San Miguel de Tucumán,-26.82,-65.22,44.6,53,0,19.46,AR,1595647393
Constitución,-35.33,-72.42,45.64,72,0,2.8,CL,1595647225
Mocuba,-16.84,36.99,62.26,98,99,3.6,MZ,1595647469
Myaundzha,63.05,147.19,77.52,38,77,6.24,RU,1595647469
Tasiilaq,65.61,-37.64,41.0,86,99,5.82,GL,1595647250
Cape Town,-33.93,18.42,50.0,66,0,2.24,ZA,1595647232
Rikitea,-23.12,-134.97,68.5,76,0,20.0,PF,1595647234
Ustka,54.58,16.86,59.41,88,50,14.56,PL,1595647469
Havre-St-Pierre,50.23,-63.6,57.2,87,1,8.05,CA,1595647469
Yiyang,28.59,112.33,82.29,79,99,4.5,CN,1595647469
Dunda,-8.12,34.25,51.19,82,11,1.74,TZ,1595647469
Ponta do Sol,32.67,-17.1,68.0,77,20,24.16,PT,1595647255
Vaini,-21.2,-175.2,71.6,94,90,5.82,TO,1595647240
Mataura,-46.19,168.86,48.42,84,100,6.6,NZ,1595646961
Punta Arenas,-53.15,-70.92,32.0,91,90,13.87,CL,1595647200
Ola,59.58,151.28,60.28,72,0,12.35,RU,1595647469
Hithadhoo,-0.6,73.08,78.75,82,100,10.78,MV,1595647237
Chumikan,54.72,135.31,57.06,70,1,13.53,RU,1595647470
Novoagansk,61.94,76.66,60.62,54,91,4.23,RU,1595647470
Kapaa,22.08,-159.32,82.99,69,20,18.34,US,1595647235
Hong Kong,22.29,114.16,93.0,63,96,8.99,HK,1595647216
Makkah al Mukarramah,21.43,39.83,85.42,52,87,4.59,SA,1595647470
Clyde River,70.47,-68.59,39.2,100,1,6.93,CA,1595647242
Torbay,47.67,-52.73,55.99,100,90,3.36,CA,1595646989
Breves,-1.68,-50.48,74.43,86,69,3.15,BR,1595647470
Denpasar,-8.65,115.22,82.4,65,20,16.11,ID,1595647223
Sept-Îles,50.2,-66.38,64.99,88,40,2.24,CA,1595647407
Sindor,62.86,51.89,62.85,65,2,3.98,RU,1595647471
Laguna,38.42,-121.42,75.99,47,1,8.05,US,1595647252
Honningsvåg,70.98,25.97,55.87,86,0,17.22,NO,1595647374
Lohja,60.25,24.07,55.99,99,100,4.0,FI,1595647471
Mandalgovi,45.76,106.27,74.44,47,1,9.13,MN,1595647471
Fairbanks,64.84,-147.72,60.8,67,75,9.17,US,1595647246
Kalabo,-14.97,22.68,48.47,65,8,6.55,ZM,1595647471
Westport,41.14,-73.36,75.2,83,1,1.25,US,1595647438
Severo-Kuril'sk,50.68,156.12,53.8,77,100,5.28,RU,1595647252
Diré,12.28,-10.97,73.6,95,100,6.53,ML,1595647263
Upernavik,72.79,-56.15,46.31,84,94,7.67,GL,1595647261
Ballina,-28.87,153.57,62.6,93,75,6.93,AU,1595647471
Saint-Philippe,-21.36,55.77,62.6,72,75,14.99,RE,1595647240
Port Elizabeth,-33.92,25.57,53.6,40,0,5.82,ZA,1595647237
Nanortalik,60.14,-45.24,44.71,91,100,3.15,GL,1595647248
Butaritari,3.07,172.79,83.3,75,30,18.48,KI,1595647241
Grand Gaube,-20.01,57.66,68.0,57,47,11.01,MU,1595647394
Nikolskoye,59.7,30.79,55.4,87,75,8.95,RU,1595647233
Chui,-33.7,-53.46,46.42,89,99,12.64,UY,1595646985
Saint Anthony,45.02,-93.22,84.99,70,1,9.17,US,1595647399
The Pas,53.83,-101.25,77.0,69,90,6.93,CA,1595647472
Burnie,-41.07,145.92,55.0,54,100,7.0,AU,1595647472
Hanzhong,33.07,107.03,71.24,93,100,1.88,CN,1595647472
Khudumelapye,-23.88,24.75,41.2,88,0,6.2,BW,1595647472
Nampula,-15.12,39.27,62.01,93,75,10.29,MZ,1595647473
Kavaratti,10.57,72.64,81.61,82,100,21.88,IN,1595647045
Cidreira,-30.18,-50.21,58.78,89,100,11.36,BR,1595647070
Klaksvík,62.23,-6.59,51.8,100,100,8.05,FO,1595647392
Zambezi,-13.54,23.1,48.22,71,14,6.96,ZM,1595647473
Diu,20.71,70.98,84.15,75,98,4.68,IN,1595647473
Dunedin,-45.87,170.5,52.0,61,100,8.99,NZ,1595647254
